task_id,backbone,DDV cos-cos,DDV euc-cos
1,1,0.0,0.0
1,2,0.35183736529362486,0.14637282106296767
1,3,0.1673436714735762,0.1318496409729235
1,4,0.3331864144352371,0.28985304332476336
1,5,0.3671054201790527,0.14747441137632245
1,6,0.3384183516813378,0.1934792298644541
1,7,0.29526087167667125,0.26981872129881623
1,8,0.4529395445100778,0.20575023975679707
1,9,0.13866479099155704,0.13789883043536721
1,10,0.39942539317742365,0.21838349679407332
1,11,0.12704401640010288,0.09348801929046724
1,12,0.37035274678601326,0.17811502100226273
1,13,0.251406357385761,0.23530091471031678
1,14,0.29191404093675355,0.29508755187243485
1,15,0.38370344868695694,0.18214231933735536
1,16,0.2743193542952075,0.20892877135064403
1,17,0.31303495003207304,0.2607816531789192
1,18,0.30697134931666303,0.232545549785803
1,19,0.2550479251177502,0.21974016027157062
1,20,0.250150005035497,0.11654427565626246
2,1,0.3518865560968141,0.14627894631040783
2,2,0.0,0.0
2,3,0.3463828414192819,0.20241549983954865
2,4,0.20663361425874027,0.22035173907869443
2,5,0.1661355167653451,0.10877947590660808
2,6,0.24165452671473087,0.18400094661922606
2,7,0.2968029726037519,0.17301541625708172
2,8,0.23190077732149905,0.14689984016292568
2,9,0.16891319628226342,0.13027679826714256
2,10,0.2823541069616894,0.1495513060188094
2,11,0.09706921743385943,0.12740571943271128
2,12,0.28422935100534696,0.1288226388824174
2,13,0.39266150800658095,0.20778844968766486
2,14,0.2881348184586513,0.15770012400275701
2,15,0.2238672506359839,0.09480504309188886
2,16,0.18555550078527316,0.21081146031893117
2,17,0.30016266460028707,0.23443015160189518
2,18,0.2231015011553784,0.11413353405712423
2,19,0.22583137209698456,0.21238572394838262
2,20,0.25459237740529606,0.10696765963344823
3,1,0.1674509543007886,0.13194688986132908
3,2,0.34641749007777134,0.20234140678398327
3,3,0.0,0.0
3,4,0.3322105522526866,0.22054781869192497
3,5,0.2783703320694899,0.09646473397623179
3,6,0.33196633256921215,0.2835959005200961
3,7,0.49629621301562643,0.24631179382283508
3,8,0.3202590292155566,0.14309796979643918
3,9,0.2501999991707825,0.12570837186126427
3,10,0.3209960366767476,0.13736477644108247
3,11,0.3094867271436167,0.18557511635391555
3,12,0.39421848980301333,0.1516748263389469
3,13,0.3520886171230978,0.15845780917175878
3,14,0.29416900793701495,0.1348974588026347
3,15,0.3960162661754886,0.1095158177859542
3,16,0.3652630518247605,0.136424144042678
3,17,0.3359732411365397,0.18275881433831664
3,18,0.18183759216128703,0.10524938277794005
3,19,0.38124687052553485,0.2574225093905673
3,20,0.26564717775606406,0.18788101923869271
4,1,0.33293629039650385,0.2896610031474667
4,2,0.20663334563477898,0.2203357896625715
4,3,0.3319826103984579,0.2205622377205353
4,4,0.0,0.0
4,5,0.20023994884060792,0.1589398536353578
4,6,0.1923034242167938,0.12715647060220125
4,7,0.2159514866116402,0.1309920504975003
4,8,0.3316343201009594,0.13333431262887574
4,9,0.2841464961833753,0.19213152023747193
4,10,0.30788519638333367,0.13249478731769038
4,11,0.1710844244326325,0.217268750930509
4,12,0.43824808881295174,0.2421832444097768
4,13,0.2989701110983063,0.29788125097533713
4,14,0.2613933034804009,0.3002097309715617
4,15,0.24278651709215338,0.1918801611081392
4,16,0.18317326059815064,0.13983876654124616
4,17,0.1893176012519424,0.24712316688748237
4,18,0.23489272164355113,0.18801584817156192
4,19,0.23602732326042686,0.3170712503894375
4,20,0.27074859797021,0.21819641308018212
5,1,0.3669699948729974,0.14745320426802788
5,2,0.16635482311228367,0.10872637700779919
5,3,0.27831353705225415,0.09651925051519528
5,4,0.20007007117024067,0.1589357103500364
5,5,0.0,0.0
5,6,0.32319815777068606,0.21511147047281964
5,7,0.21143325757169562,0.18941957984187952
5,8,0.26079622257061996,0.11076410263585124
5,9,0.3172190498536087,0.10788473359962969
5,10,0.28832780474566055,0.1816469297043406
5,11,0.17937710489276038,0.12344001037648988
5,12,0.23673417451722134,0.08935658301140659
5,13,0.296340356756006,0.12570521990300132
5,14,0.2990737151793864,0.1082846194451701
5,15,0.2717767640887597,0.1395725897367761
5,16,0.13970674972345698,0.09654443823741399
5,17,0.3248148149765828,0.1688503524039311
5,18,0.3538317391042135,0.1786959521055953
5,19,0.12384360052238519,0.07318007263709536
5,20,0.23927099911108418,0.1237254675349505
6,1,0.3384353716204732,0.19359007258056093
6,2,0.24169207043924135,0.184122412248524
6,3,0.33188345419982335,0.2835061766139826
6,4,0.19233739574447117,0.12710876581663977
6,5,0.32320678786042634,0.2150330583612008
6,6,0.0,0.0
6,7,0.3416089716267633,0.31238391444321734
6,8,0.2826541625752709,0.24789090756999366
6,9,0.23314931811654682,0.19958732518235467
6,10,0.28856463268883836,0.20460401930673122
6,11,0.2044524778163509,0.20699181426992097
6,12,0.2482519369804692,0.09758958359248904
6,13,0.2747792389991308,0.20775450636194104
6,14,0.36693363024585657,0.22826496380480765
6,15,0.2628158533328392,0.3002510035118151
6,16,0.18787803009400594,0.2749872197269164
