Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
75,val,,75.8,0.741,0.0
76,train,0.001,82.0,0.494,0.0
76,val,,75.6,0.731,0.0
77,train,0.001,82.8,0.473,0.0
77,val,,75.2,0.733,0.0
78,train,0.001,82.96,0.48,0.0
78,val,,74.8,0.729,0.0
79,train,0.001,83.16,0.476,0.0
79,val,,74.2,0.754,0.0
80,train,0.001,83.2,0.468,0.0
80,val,,74.8,0.737,0.0
81,train,0.0001,82.84,0.462,0.0
81,val,,74.4,0.732,0.0
82,train,0.0001,83.4,0.458,0.0
82,val,,74.6,0.729,0.0
83,train,0.0001,83.64,0.456,0.0
83,val,,74.0,0.728,0.0
84,train,0.0001,83.4,0.446,0.0
84,val,,75.2,0.728,0.0
85,train,0.0001,84.44,0.446,0.0
85,val,,74.8,0.727,0.0
86,train,0.0001,83.8,0.451,0.0
86,val,,74.2,0.739,0.0
87,train,0.0001,83.36,0.446,0.0
87,val,,75.0,0.73,0.0
88,train,0.0001,84.72,0.444,0.0
88,val,,74.8,0.725,0.0
89,train,0.0001,84.4,0.442,0.0
89,val,,75.2,0.735,0.0
90,train,0.0001,83.44,0.456,0.0
90,val,,73.8,0.739,0.0
91,train,0.0001,84.88,0.456,0.0
91,val,,74.6,0.735,0.0
92,train,0.0001,84.08,0.442,0.0
92,val,,74.4,0.733,0.0
93,train,0.0001,84.36,0.437,0.0
93,val,,75.0,0.733,0.0
94,train,0.0001,84.2,0.447,0.0
94,val,,75.4,0.731,0.0
95,train,0.0001,83.84,0.438,0.0
95,val,,75.0,0.729,0.0
96,train,0.0001,83.92,0.45,0.0
96,val,,74.4,0.736,0.0
97,train,0.0001,84.2,0.446,0.0
97,val,,75.4,0.733,0.0
98,train,0.0001,84.6,0.448,0.0
98,val,,75.8,0.732,0.0
99,train,0.0001,84.28,0.449,0.0
99,val,,74.4,0.739,0.0
100,train,0.0001,83.88,0.447,0.0
100,val,,74.2,0.738,0.0
