Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
75,val,,70.0,0.865,0.0
76,train,0.001,83.88,0.441,0.0
76,val,,71.4,0.84,0.0
77,train,0.001,83.92,0.47,0.0
77,val,,72.0,0.848,0.0
78,train,0.001,83.4,0.464,0.0
78,val,,71.6,0.869,0.0
79,train,0.001,83.72,0.456,0.0
79,val,,71.4,0.863,0.0
80,train,0.001,83.36,0.452,0.0
80,val,,71.6,0.844,0.0
81,train,0.0001,84.12,0.445,0.0
81,val,,71.6,0.849,0.0
82,train,0.0001,83.32,0.449,0.0
82,val,,70.8,0.856,0.0
83,train,0.0001,83.4,0.453,0.0
83,val,,70.6,0.857,0.0
84,train,0.0001,84.68,0.425,0.0
84,val,,71.4,0.848,0.0
85,train,0.0001,85.68,0.429,0.0
85,val,,71.2,0.83,0.0
86,train,0.0001,85.36,0.418,0.0
86,val,,71.0,0.849,0.0
87,train,0.0001,84.24,0.44,0.0
87,val,,72.4,0.837,0.0
88,train,0.0001,84.56,0.436,0.0
88,val,,71.4,0.857,0.0
89,train,0.0001,84.64,0.426,0.0
89,val,,70.6,0.852,0.0
90,train,0.0001,84.32,0.443,0.0
90,val,,72.4,0.835,0.0
91,train,0.0001,84.72,0.429,0.0
91,val,,71.0,0.856,0.0
92,train,0.0001,85.08,0.442,0.0
92,val,,70.2,0.845,0.0
93,train,0.0001,83.88,0.429,0.0
93,val,,71.4,0.86,0.0
94,train,0.0001,84.48,0.433,0.0
94,val,,70.6,0.857,0.0
95,train,0.0001,85.08,0.416,0.0
95,val,,71.4,0.851,0.0
96,train,0.0001,83.24,0.44,0.0
96,val,,70.6,0.849,0.0
97,train,0.0001,84.76,0.413,0.0
97,val,,70.8,0.849,0.0
98,train,0.0001,84.28,0.438,0.0
98,val,,71.4,0.851,0.0
99,train,0.0001,84.8,0.428,0.0
99,val,,71.0,0.847,0.0
100,train,0.0001,84.52,0.444,0.0
100,val,,70.4,0.862,0.0
