Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
75,val,,72.0,0.774,0.0
76,train,0.001,79.28,0.517,0.0
76,val,,73.0,0.786,0.0
77,train,0.001,82.2,0.496,0.0
77,val,,72.2,0.781,0.0
78,train,0.001,81.4,0.492,0.0
78,val,,72.4,0.786,0.0
79,train,0.001,81.2,0.497,0.0
79,val,,72.2,0.787,0.0
80,train,0.001,82.0,0.484,0.0
80,val,,72.4,0.781,0.0
81,train,0.0001,80.44,0.483,0.0
81,val,,73.0,0.784,0.0
82,train,0.0001,81.04,0.499,0.0
82,val,,72.6,0.772,0.0
83,train,0.0001,82.92,0.465,0.0
83,val,,72.4,0.782,0.0
84,train,0.0001,82.0,0.482,0.0
84,val,,71.8,0.784,0.0
85,train,0.0001,81.8,0.49,0.0
85,val,,71.6,0.784,0.0
86,train,0.0001,82.36,0.48,0.0
86,val,,72.0,0.781,0.0
87,train,0.0001,80.92,0.487,0.0
87,val,,72.0,0.779,0.0
88,train,0.0001,82.68,0.471,0.0
88,val,,72.4,0.781,0.0
89,train,0.0001,83.2,0.461,0.0
89,val,,72.4,0.788,0.0
90,train,0.0001,82.08,0.475,0.0
90,val,,71.4,0.796,0.0
91,train,0.0001,80.8,0.494,0.0
91,val,,72.4,0.779,0.0
92,train,0.0001,81.6,0.474,0.0
92,val,,72.4,0.779,0.0
93,train,0.0001,81.8,0.471,0.0
93,val,,71.6,0.787,0.0
94,train,0.0001,82.6,0.474,0.0
94,val,,72.6,0.779,0.0
95,train,0.0001,81.88,0.472,0.0
95,val,,71.4,0.79,0.0
96,train,0.0001,81.56,0.479,0.0
96,val,,70.8,0.794,0.0
97,train,0.0001,82.28,0.468,0.0
97,val,,71.6,0.783,0.0
98,train,0.0001,82.6,0.456,0.0
98,val,,72.4,0.78,0.0
99,train,0.0001,82.6,0.471,0.0
99,val,,72.8,0.778,0.0
100,train,0.0001,82.24,0.474,0.0
100,val,,72.4,0.792,0.0
