Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
75,val,,75.4,0.768,0.0
76,train,0.001,81.12,0.497,0.0
76,val,,74.0,0.76,0.0
77,train,0.001,80.52,0.503,0.0
77,val,,75.0,0.76,0.0
78,train,0.001,81.52,0.5,0.0
78,val,,74.4,0.754,0.0
79,train,0.001,81.16,0.483,0.0
79,val,,74.2,0.769,0.0
80,train,0.001,81.24,0.492,0.0
80,val,,74.0,0.757,0.0
81,train,0.0001,81.92,0.477,0.0
81,val,,74.6,0.755,0.0
82,train,0.0001,81.44,0.478,0.0
82,val,,74.6,0.764,0.0
83,train,0.0001,82.12,0.47,0.0
83,val,,74.8,0.781,0.0
84,train,0.0001,83.12,0.461,0.0
84,val,,75.2,0.749,0.0
85,train,0.0001,81.84,0.489,0.0
85,val,,74.6,0.761,0.0
86,train,0.0001,82.28,0.481,0.0
86,val,,74.4,0.761,0.0
87,train,0.0001,82.44,0.47,0.0
87,val,,74.6,0.768,0.0
88,train,0.0001,81.48,0.48,0.0
88,val,,75.0,0.763,0.0
89,train,0.0001,82.0,0.473,0.0
89,val,,74.6,0.761,0.0
90,train,0.0001,83.12,0.456,0.0
90,val,,74.8,0.762,0.0
91,train,0.0001,82.16,0.482,0.0
91,val,,74.8,0.764,0.0
92,train,0.0001,81.84,0.475,0.0
92,val,,74.0,0.774,0.0
93,train,0.0001,81.92,0.481,0.0
93,val,,75.0,0.765,0.0
94,train,0.0001,82.72,0.474,0.0
94,val,,74.4,0.768,0.0
95,train,0.0001,82.16,0.476,0.0
95,val,,74.6,0.767,0.0
96,train,0.0001,82.0,0.473,0.0
96,val,,74.6,0.773,0.0
97,train,0.0001,81.28,0.474,0.0
97,val,,74.2,0.761,0.0
98,train,0.0001,82.0,0.468,0.0
98,val,,74.2,0.767,0.0
99,train,0.0001,82.84,0.46,0.0
99,val,,74.8,0.766,0.0
100,train,0.0001,82.08,0.48,0.0
100,val,,75.6,0.764,0.0
