Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
75,val,,69.8,0.78,0.0
76,train,0.001,75.52,0.617,0.0
76,val,,72.2,0.785,0.0
77,train,0.001,75.84,0.608,0.0
77,val,,72.0,0.768,0.0
78,train,0.001,77.76,0.596,0.0
78,val,,69.2,0.806,0.0
79,train,0.001,76.96,0.599,0.0
79,val,,71.0,0.804,0.0
80,train,0.001,75.84,0.612,0.0
80,val,,70.6,0.789,0.0
81,train,0.0001,76.0,0.604,0.0
81,val,,71.0,0.773,0.0
82,train,0.0001,76.6,0.585,0.0
82,val,,71.0,0.798,0.0
83,train,0.0001,76.36,0.593,0.0
83,val,,71.8,0.775,0.0
84,train,0.0001,76.88,0.589,0.0
84,val,,70.4,0.794,0.0
85,train,0.0001,76.04,0.605,0.0
85,val,,71.0,0.793,0.0
86,train,0.0001,77.4,0.587,0.0
86,val,,71.4,0.773,0.0
87,train,0.0001,76.72,0.59,0.0
87,val,,70.4,0.8,0.0
88,train,0.0001,77.24,0.591,0.0
88,val,,71.0,0.798,0.0
89,train,0.0001,76.52,0.586,0.0
89,val,,70.8,0.772,0.0
90,train,0.0001,77.64,0.595,0.0
90,val,,71.8,0.786,0.0
91,train,0.0001,76.2,0.593,0.0
91,val,,71.6,0.775,0.0
92,train,0.0001,77.12,0.588,0.0
92,val,,71.0,0.784,0.0
93,train,0.0001,76.24,0.593,0.0
93,val,,71.2,0.772,0.0
94,train,0.0001,77.12,0.594,0.0
94,val,,71.6,0.797,0.0
95,train,0.0001,76.88,0.591,0.0
95,val,,69.8,0.797,0.0
96,train,0.0001,76.28,0.575,0.0
96,val,,71.8,0.778,0.0
97,train,0.0001,76.44,0.582,0.0
97,val,,70.2,0.79,0.0
98,train,0.0001,76.72,0.593,0.0
98,val,,70.8,0.775,0.0
99,train,0.0001,77.44,0.585,0.0
99,val,,73.2,0.779,0.0
100,train,0.0001,76.72,0.594,0.0
100,val,,71.6,0.782,0.0
