Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
75,val,,74.8,0.743,0.0
76,train,0.001,78.8,0.556,0.0
76,val,,74.8,0.748,0.0
77,train,0.001,79.56,0.551,0.0
77,val,,74.6,0.756,0.0
78,train,0.001,79.28,0.568,0.0
78,val,,74.2,0.743,0.0
79,train,0.001,79.2,0.564,0.0
79,val,,73.8,0.751,0.0
80,train,0.001,78.48,0.57,0.0
80,val,,74.6,0.752,0.0
81,train,0.0001,79.52,0.554,0.0
81,val,,75.0,0.737,0.0
82,train,0.0001,79.44,0.547,0.0
82,val,,75.2,0.739,0.0
83,train,0.0001,79.72,0.544,0.0
83,val,,75.6,0.752,0.0
84,train,0.0001,79.8,0.533,0.0
84,val,,75.8,0.743,0.0
85,train,0.0001,79.96,0.548,0.0
85,val,,74.6,0.744,0.0
86,train,0.0001,80.44,0.538,0.0
86,val,,75.2,0.742,0.0
87,train,0.0001,79.8,0.55,0.0
87,val,,74.6,0.743,0.0
88,train,0.0001,80.6,0.544,0.0
88,val,,75.2,0.737,0.0
89,train,0.0001,81.0,0.529,0.0
89,val,,74.8,0.75,0.0
90,train,0.0001,79.36,0.544,0.0
90,val,,75.8,0.729,0.0
91,train,0.0001,79.76,0.541,0.0
91,val,,75.2,0.74,0.0
92,train,0.0001,80.64,0.541,0.0
92,val,,75.4,0.746,0.0
93,train,0.0001,80.72,0.536,0.0
93,val,,75.0,0.744,0.0
94,train,0.0001,80.36,0.527,0.0
94,val,,74.6,0.751,0.0
95,train,0.0001,80.04,0.54,0.0
95,val,,75.0,0.755,0.0
96,train,0.0001,79.68,0.544,0.0
96,val,,75.4,0.737,0.0
97,train,0.0001,79.72,0.54,0.0
97,val,,74.8,0.736,0.0
98,train,0.0001,79.76,0.536,0.0
98,val,,75.6,0.758,0.0
99,train,0.0001,81.84,0.519,0.0
99,val,,75.0,0.744,0.0
100,train,0.0001,79.84,0.528,0.0
100,val,,74.8,0.737,0.0
