Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity
75,val,,78.6,0.604,0.0
76,train,0.001,86.76,0.368,0.0
76,val,,79.4,0.595,0.0
77,train,0.001,85.44,0.374,0.0
77,val,,79.2,0.609,0.0
78,train,0.001,86.08,0.374,0.0
78,val,,79.2,0.613,0.0
79,train,0.001,85.68,0.382,0.0
79,val,,80.0,0.6,0.0
80,train,0.001,86.12,0.377,0.0
80,val,,79.6,0.591,0.0
81,train,0.0001,85.76,0.381,0.0
81,val,,80.6,0.598,0.0
82,train,0.0001,86.64,0.362,0.0
82,val,,79.8,0.597,0.0
83,train,0.0001,87.52,0.34,0.0
83,val,,79.8,0.596,0.0
84,train,0.0001,86.16,0.365,0.0
84,val,,80.0,0.587,0.0
85,train,0.0001,86.4,0.366,0.0
85,val,,80.6,0.599,0.0
86,train,0.0001,87.12,0.354,0.0
86,val,,80.0,0.591,0.0
87,train,0.0001,87.0,0.356,0.0
87,val,,79.6,0.594,0.0
88,train,0.0001,86.4,0.374,0.0
88,val,,79.8,0.594,0.0
89,train,0.0001,87.28,0.344,0.0
89,val,,80.4,0.616,0.0
90,train,0.0001,87.04,0.351,0.0
90,val,,79.6,0.595,0.0
91,train,0.0001,88.0,0.346,0.0
91,val,,79.6,0.603,0.0
92,train,0.0001,86.96,0.353,0.0
92,val,,79.4,0.609,0.0
93,train,0.0001,87.72,0.347,0.0
93,val,,80.4,0.592,0.0
94,train,0.0001,86.72,0.359,0.0
94,val,,80.2,0.605,0.0
95,train,0.0001,86.4,0.355,0.0
95,val,,80.4,0.594,0.0
96,train,0.0001,87.0,0.35,0.0
96,val,,80.2,0.602,0.0
97,train,0.0001,86.28,0.355,0.0
97,val,,79.6,0.602,0.0
98,train,0.0001,87.04,0.359,0.0
98,val,,80.0,0.602,0.0
99,train,0.0001,87.48,0.351,0.0
99,val,,79.6,0.607,0.0
100,train,0.0001,86.36,0.351,0.0
100,val,,79.4,0.602,0.0
