Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
71,val,,65.2,0.855,0.0,
72,train,0.001,68.36,0.791,0.0,
72,val,,65.6,0.843,0.0,
73,train,0.001,70.16,0.771,0.0,
73,val,,64.8,0.85,0.0,
74,train,0.001,68.36,0.776,0.0,
74,val,,65.4,0.849,0.0,
75,train,0.001,69.56,0.779,0.0,
75,val,,66.0,0.847,0.0,
76,train,0.001,69.28,0.77,0.0,
76,val,,66.2,0.839,0.0,
77,train,0.001,67.6,0.79,0.0,
77,val,,66.6,0.838,0.0,
78,train,0.001,69.08,0.761,0.0,
78,val,,66.6,0.844,0.0,
79,train,0.001,69.12,0.771,0.0,
79,val,,66.2,0.844,0.0,
80,train,0.001,69.76,0.761,0.0,
80,val,,67.0,0.844,0.0,
81,train,0.0001,69.48,0.767,0.0,
81,val,,68.2,0.843,0.0,
82,train,0.0001,69.44,0.76,0.0,
82,val,,67.2,0.83,0.0,
83,train,0.0001,70.12,0.744,0.0,
83,val,,67.8,0.835,0.0,
84,train,0.0001,69.32,0.76,0.0,
84,val,,67.0,0.834,0.0,
85,train,0.0001,70.0,0.768,0.0,
85,val,,66.8,0.831,0.0,
86,train,0.0001,70.64,0.756,0.0,
86,val,,67.0,0.837,0.0,
87,train,0.0001,69.68,0.758,0.0,
87,val,,68.0,0.839,0.0,
88,train,0.0001,70.48,0.761,0.0,
88,val,,66.4,0.834,0.0,
89,train,0.0001,69.32,0.763,0.0,
89,val,,65.2,0.841,0.0,
90,train,0.0001,71.2,0.74,0.0,
90,val,,68.2,0.828,0.0,
91,train,0.0001,70.16,0.751,0.0,
91,val,,67.4,0.831,0.0,
92,train,0.0001,69.68,0.756,0.0,
92,val,,66.6,0.842,0.0,
93,train,0.0001,69.96,0.755,0.0,
93,val,,65.8,0.841,0.0,
94,train,0.0001,70.08,0.76,0.0,
94,val,,66.4,0.839,0.0,
95,train,0.0001,69.24,0.768,0.0,
95,val,,67.2,0.84,0.0,
96,train,0.0001,69.88,0.758,0.0,
96,val,,66.6,0.841,0.0,
97,train,0.0001,69.84,0.763,0.0,
97,val,,66.2,0.831,0.0,
98,train,0.0001,69.88,0.757,0.0,
98,val,,67.8,0.845,0.0,
99,train,0.0001,69.6,0.753,0.0,
99,val,,66.6,0.842,0.0,
100,train,0.0001,69.84,0.753,0.0,
100,val,,67.6,0.834,0.0,
0,val,,67.6,0.834,0.0,
1,train,0.001,69.16,0.775,0.053,
1,val,,65.4,0.847,0.053,
2,train,0.001,69.68,0.769,0.086,
2,val,,67.0,0.836,0.086,
3,train,0.001,68.2,0.782,0.098,
3,val,,65.0,0.838,0.098,
4,train,0.001,69.6,0.764,0.1,
4,val,,67.0,0.835,0.1,
5,train,0.001,68.68,0.77,0.1,
5,val,,66.8,0.835,0.1,
6,train,0.001,69.72,0.773,0.1,
6,val,,66.2,0.842,0.1,
7,train,0.001,69.96,0.756,0.1,
7,val,,65.6,0.858,0.1,
8,train,0.001,69.96,0.755,0.1,
8,val,,67.8,0.82,0.1,
9,train,0.001,70.4,0.75,0.1,
9,val,,66.6,0.829,0.1,
10,train,0.001,70.0,0.773,0.1,
10,val,,66.0,0.837,0.1,
11,train,0.001,69.8,0.766,0.1,
11,val,,65.6,0.843,0.1,
12,train,0.001,70.12,0.767,0.1,
12,val,,65.8,0.835,0.1,
13,train,0.001,70.16,0.753,0.1,
13,val,,66.4,0.84,0.1,
14,train,0.001,69.44,0.757,0.1,
14,val,,66.4,0.828,0.1,
15,train,0.001,70.72,0.742,0.1,
15,val,,66.2,0.835,0.1,
16,train,0.001,69.52,0.76,0.1,
16,val,,67.2,0.838,0.1,
17,train,0.001,70.96,0.732,0.1,
17,val,,67.0,0.823,0.1,
18,train,0.001,70.4,0.743,0.1,
18,val,,66.6,0.827,0.1,
19,train,0.001,71.96,0.729,0.1,
19,val,,70.0,0.826,0.1,
20,train,0.001,70.44,0.744,0.1,
20,val,,66.8,0.823,0.1,
0,val,,66.8,0.823,0.1,
1,train,0.001,70.16,0.747,0.153,
1,val,,66.2,0.833,0.153,
2,train,0.001,71.2,0.735,0.186,
2,val,,67.6,0.833,0.186,
3,train,0.001,69.6,0.751,0.198,
3,val,,66.0,0.83,0.198,
4,train,0.001,70.84,0.731,0.2,
4,val,,66.2,0.831,0.2,
5,train,0.001,70.12,0.74,0.2,
5,val,,65.8,0.833,0.2,
6,train,0.001,70.88,0.74,0.2,
6,val,,67.0,0.84,0.2,
7,train,0.001,71.88,0.724,0.2,
7,val,,65.4,0.855,0.2,
8,train,0.001,71.0,0.723,0.2,
8,val,,67.2,0.817,0.2,
9,train,0.001,71.52,0.715,0.2,
9,val,,68.0,0.825,0.2,
10,train,0.001,72.08,0.737,0.2,
10,val,,66.4,0.835,0.2,
11,train,0.001,71.12,0.734,0.2,
11,val,,67.4,0.838,0.2,
12,train,0.001,71.84,0.736,0.2,
12,val,,66.6,0.835,0.2,
13,train,0.001,71.68,0.721,0.2,
13,val,,65.8,0.838,0.2,
14,train,0.001,71.2,0.723,0.2,
14,val,,67.4,0.825,0.2,
15,train,0.001,71.64,0.712,0.2,
15,val,,66.4,0.833,0.2,
16,train,0.001,70.76,0.73,0.2,
16,val,,67.6,0.835,0.2,
17,train,0.001,71.88,0.698,0.2,
17,val,,67.6,0.82,0.2,
18,train,0.001,72.0,0.711,0.2,
18,val,,67.4,0.825,0.2,
19,train,0.001,72.72,0.698,0.2,
19,val,,69.8,0.825,0.2,
20,train,0.001,71.92,0.714,0.2,
20,val,,67.6,0.824,0.2,
0,val,,67.6,0.824,0.2,
1,train,0.001,71.28,0.719,0.253,
1,val,,66.2,0.834,0.253,
2,train,0.001,72.96,0.708,0.286,
2,val,,68.4,0.829,0.286,
3,train,0.001,70.8,0.725,0.298,
3,val,,65.8,0.845,0.298,
4,train,0.001,72.2,0.7,0.301,
4,val,,65.6,0.838,0.301,
5,train,0.001,71.56,0.711,0.301,
5,val,,66.0,0.841,0.301,
6,train,0.001,72.88,0.708,0.301,
6,val,,65.6,0.843,0.301,
7,train,0.001,73.16,0.692,0.301,
7,val,,66.2,0.856,0.301,
8,train,0.001,72.64,0.692,0.301,
8,val,,67.8,0.821,0.301,
9,train,0.001,73.6,0.684,0.301,
9,val,,68.2,0.828,0.301,
10,train,0.001,73.2,0.703,0.301,
10,val,,67.6,0.84,0.301,
11,train,0.001,72.52,0.699,0.301,
11,val,,67.4,0.843,0.301,
