Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
71,val,,63.0,0.922,0.0,
72,train,0.001,70.56,0.77,0.0,
72,val,,64.0,0.927,0.0,
73,train,0.001,70.28,0.773,0.0,
73,val,,64.4,0.919,0.0,
74,train,0.001,70.68,0.769,0.0,
74,val,,62.8,0.948,0.0,
75,train,0.001,70.44,0.778,0.0,
75,val,,63.2,0.935,0.0,
76,train,0.001,71.08,0.756,0.0,
76,val,,62.0,0.942,0.0,
77,train,0.001,69.4,0.781,0.0,
77,val,,64.6,0.913,0.0,
78,train,0.001,70.24,0.764,0.0,
78,val,,63.0,0.922,0.0,
79,train,0.001,71.36,0.756,0.0,
79,val,,65.4,0.916,0.0,
80,train,0.001,70.48,0.755,0.0,
80,val,,64.0,0.918,0.0,
81,train,0.0001,70.8,0.766,0.0,
81,val,,63.6,0.922,0.0,
82,train,0.0001,70.28,0.75,0.0,
82,val,,64.2,0.919,0.0,
83,train,0.0001,71.64,0.747,0.0,
83,val,,63.8,0.922,0.0,
84,train,0.0001,72.24,0.76,0.0,
84,val,,64.2,0.917,0.0,
85,train,0.0001,70.68,0.762,0.0,
85,val,,63.2,0.925,0.0,
86,train,0.0001,71.56,0.739,0.0,
86,val,,63.4,0.927,0.0,
87,train,0.0001,71.8,0.735,0.0,
87,val,,64.2,0.924,0.0,
88,train,0.0001,70.92,0.747,0.0,
88,val,,64.0,0.926,0.0,
89,train,0.0001,72.24,0.721,0.0,
89,val,,64.4,0.921,0.0,
90,train,0.0001,73.08,0.732,0.0,
90,val,,64.0,0.923,0.0,
91,train,0.0001,72.24,0.729,0.0,
91,val,,63.0,0.932,0.0,
92,train,0.0001,71.12,0.763,0.0,
92,val,,64.2,0.925,0.0,
93,train,0.0001,71.28,0.747,0.0,
93,val,,64.2,0.92,0.0,
94,train,0.0001,70.72,0.755,0.0,
94,val,,63.2,0.919,0.0,
95,train,0.0001,70.76,0.762,0.0,
95,val,,64.6,0.926,0.0,
96,train,0.0001,70.84,0.755,0.0,
96,val,,63.2,0.934,0.0,
97,train,0.0001,71.28,0.749,0.0,
97,val,,62.8,0.932,0.0,
98,train,0.0001,70.32,0.77,0.0,
98,val,,62.8,0.927,0.0,
99,train,0.0001,72.72,0.735,0.0,
99,val,,63.2,0.928,0.0,
100,train,0.0001,71.28,0.748,0.0,
100,val,,64.4,0.913,0.0,
0,val,,64.4,0.913,0.0,
1,train,0.001,70.6,0.763,0.053,
1,val,,62.0,0.931,0.053,
2,train,0.001,70.64,0.758,0.085,
2,val,,64.0,0.917,0.085,
3,train,0.001,72.24,0.737,0.098,
3,val,,64.6,0.925,0.098,
4,train,0.001,70.48,0.754,0.101,
4,val,,64.4,0.915,0.101,
5,train,0.001,71.44,0.759,0.101,
5,val,,63.0,0.909,0.101,
6,train,0.001,70.96,0.748,0.101,
6,val,,64.4,0.938,0.101,
7,train,0.001,71.4,0.745,0.101,
7,val,,64.8,0.906,0.101,
8,train,0.001,71.4,0.748,0.101,
8,val,,64.0,0.927,0.101,
9,train,0.001,71.24,0.749,0.101,
9,val,,63.6,0.905,0.101,
10,train,0.001,71.52,0.748,0.101,
10,val,,63.8,0.907,0.101,
11,train,0.001,71.4,0.757,0.101,
11,val,,64.0,0.926,0.101,
12,train,0.001,71.56,0.751,0.101,
12,val,,63.0,0.915,0.101,
13,train,0.001,70.52,0.742,0.101,
13,val,,63.8,0.91,0.101,
14,train,0.001,71.16,0.748,0.101,
14,val,,63.4,0.906,0.101,
15,train,0.001,72.0,0.745,0.101,
15,val,,64.0,0.92,0.101,
16,train,0.001,72.2,0.75,0.101,
16,val,,63.6,0.914,0.101,
17,train,0.001,71.48,0.741,0.101,
17,val,,63.8,0.913,0.101,
18,train,0.001,72.12,0.739,0.101,
18,val,,64.8,0.913,0.101,
19,train,0.001,71.96,0.733,0.101,
19,val,,63.8,0.928,0.101,
20,train,0.001,71.24,0.743,0.101,
20,val,,63.6,0.917,0.101,
0,val,,63.6,0.917,0.101,
1,train,0.001,71.8,0.734,0.153,
1,val,,62.4,0.923,0.153,
2,train,0.001,72.32,0.728,0.186,
2,val,,65.0,0.92,0.186,
3,train,0.001,74.08,0.708,0.198,
3,val,,65.6,0.916,0.198,
4,train,0.001,71.68,0.727,0.201,
4,val,,64.0,0.913,0.201,
5,train,0.001,72.76,0.728,0.201,
5,val,,64.4,0.899,0.201,
6,train,0.001,72.32,0.72,0.201,
6,val,,63.0,0.927,0.201,
7,train,0.001,72.36,0.716,0.201,
7,val,,64.6,0.902,0.201,
8,train,0.001,72.8,0.717,0.201,
8,val,,64.4,0.919,0.201,
9,train,0.001,72.12,0.72,0.201,
9,val,,63.0,0.9,0.201,
10,train,0.001,73.12,0.72,0.201,
10,val,,63.4,0.9,0.201,
11,train,0.001,71.92,0.726,0.201,
11,val,,64.0,0.918,0.201,
12,train,0.001,72.48,0.721,0.201,
12,val,,63.0,0.909,0.201,
13,train,0.001,71.2,0.713,0.201,
13,val,,62.6,0.906,0.201,
14,train,0.001,72.52,0.72,0.201,
14,val,,63.6,0.9,0.201,
15,train,0.001,72.56,0.719,0.201,
15,val,,64.2,0.916,0.201,
16,train,0.001,73.12,0.72,0.201,
16,val,,64.0,0.911,0.201,
17,train,0.001,72.76,0.712,0.201,
17,val,,64.0,0.91,0.201,
18,train,0.001,72.76,0.709,0.201,
18,val,,64.4,0.912,0.201,
19,train,0.001,72.72,0.703,0.201,
19,val,,63.6,0.924,0.201,
20,train,0.001,72.56,0.715,0.201,
20,val,,64.0,0.918,0.201,
0,val,,64.0,0.918,0.201,
1,train,0.001,72.88,0.709,0.253,
1,val,,62.4,0.925,0.253,
2,train,0.001,73.2,0.705,0.286,
2,val,,65.4,0.909,0.286,
3,train,0.001,74.64,0.683,0.298,
3,val,,66.2,0.908,0.298,
4,train,0.001,73.08,0.701,0.301,
4,val,,64.6,0.906,0.301,
5,train,0.001,73.52,0.701,0.301,
5,val,,65.0,0.893,0.301,
6,train,0.001,73.44,0.693,0.301,
6,val,,64.4,0.922,0.301,
7,train,0.001,73.12,0.689,0.301,
7,val,,64.0,0.898,0.301,
8,train,0.001,74.0,0.689,0.301,
8,val,,63.6,0.911,0.301,
9,train,0.001,73.32,0.693,0.301,
9,val,,63.6,0.896,0.301,
10,train,0.001,74.04,0.693,0.301,
10,val,,63.4,0.895,0.301,
11,train,0.001,72.92,0.696,0.301,
11,val,,63.8,0.911,0.301,
12,train,0.001,73.88,0.693,0.301,
12,val,,63.6,0.904,0.301,
13,train,0.001,72.44,0.687,0.301,
13,val,,63.2,0.901,0.301,
14,train,0.001,73.44,0.694,0.301,
14,val,,64.2,0.897,0.301,
15,train,0.001,73.84,0.692,0.301,
15,val,,63.4,0.917,0.301,
16,train,0.001,74.04,0.692,0.301,
16,val,,64.2,0.908,0.301,
17,train,0.001,73.04,0.687,0.301,
17,val,,64.4,0.911,0.301,
18,train,0.001,74.0,0.682,0.301,
18,val,,64.4,0.91,0.301,
19,train,0.001,73.76,0.675,0.301,
19,val,,64.4,0.925,0.301,
20,train,0.001,73.4,0.69,0.301,
20,val,,64.2,0.916,0.301,
0,val,,64.2,0.916,0.301,
1,train,0.001,73.68,0.684,0.353,
1,val,,64.0,0.935,0.353,
2,train,0.001,74.24,0.688,0.386,
2,val,,64.4,0.917,0.386,
3,train,0.001,75.28,0.667,0.398,
3,val,,65.0,0.924,0.398,
4,train,0.001,74.36,0.679,0.401,
4,val,,64.4,0.908,0.401,
5,train,0.001,74.6,0.68,0.401,
5,val,,64.6,0.896,0.401,
6,train,0.001,74.8,0.671,0.401,
6,val,,64.2,0.918,0.401,
7,train,0.001,74.4,0.668,0.401,
7,val,,64.4,0.897,0.401,
8,train,0.001,75.0,0.667,0.401,
8,val,,64.4,0.907,0.401,
9,train,0.001,74.04,0.667,0.401,
9,val,,64.6,0.896,0.401,
10,train,0.001,74.48,0.672,0.401,
10,val,,63.4,0.899,0.401,
11,train,0.001,74.44,0.67,0.401,
11,val,,63.4,0.911,0.401,
12,train,0.001,75.2,0.664,0.401,
12,val,,63.2,0.907,0.401,
13,train,0.001,73.56,0.663,0.401,
13,val,,63.6,0.903,0.401,
14,train,0.001,73.72,0.668,0.401,
14,val,,63.8,0.9,0.401,
15,train,0.001,74.88,0.664,0.401,
15,val,,63.6,0.931,0.401,
16,train,0.001,75.0,0.666,0.401,
16,val,,65.2,0.912,0.401,
17,train,0.001,75.16,0.66,0.401,
17,val,,64.4,0.915,0.401,
18,train,0.001,75.04,0.655,0.401,
18,val,,65.2,0.915,0.401,
19,train,0.001,74.88,0.651,0.401,
19,val,,63.4,0.928,0.401,
20,train,0.001,74.28,0.667,0.401,
20,val,,63.6,0.916,0.401,
0,val,,63.6,0.916,0.401,
1,train,0.001,74.52,0.661,0.453,
1,val,,60.4,0.982,0.453,
2,train,0.001,74.12,0.669,0.486,
2,val,,62.2,1.01,0.486,
3,train,0.001,75.76,0.656,0.498,
3,val,,65.6,0.932,0.498,
4,train,0.001,75.28,0.665,0.501,
4,val,,63.8,0.925,0.501,
5,train,0.001,73.88,0.667,0.501,
5,val,,64.4,0.9,0.501,
6,train,0.001,75.0,0.652,0.501,
6,val,,64.6,0.926,0.501,
