Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
71,val,,69.2,0.841,0.0,
72,train,0.001,73.52,0.713,0.0,
72,val,,69.2,0.84,0.0,
73,train,0.001,73.4,0.689,0.0,
73,val,,68.6,0.838,0.0,
74,train,0.001,73.8,0.696,0.0,
74,val,,69.4,0.847,0.0,
75,train,0.001,73.8,0.691,0.0,
75,val,,69.0,0.839,0.0,
76,train,0.001,74.12,0.694,0.0,
76,val,,69.2,0.847,0.0,
77,train,0.001,74.52,0.69,0.0,
77,val,,69.0,0.834,0.0,
78,train,0.001,72.4,0.692,0.0,
78,val,,68.2,0.839,0.0,
79,train,0.001,74.4,0.696,0.0,
79,val,,69.0,0.835,0.0,
80,train,0.001,73.64,0.693,0.0,
80,val,,69.0,0.842,0.0,
81,train,0.0001,74.12,0.687,0.0,
81,val,,68.8,0.838,0.0,
82,train,0.0001,73.36,0.686,0.0,
82,val,,69.2,0.839,0.0,
83,train,0.0001,74.52,0.683,0.0,
83,val,,69.2,0.834,0.0,
84,train,0.0001,73.88,0.672,0.0,
84,val,,70.0,0.834,0.0,
85,train,0.0001,73.44,0.674,0.0,
85,val,,68.6,0.842,0.0,
86,train,0.0001,73.64,0.678,0.0,
86,val,,69.2,0.839,0.0,
87,train,0.0001,74.36,0.673,0.0,
87,val,,68.4,0.833,0.0,
88,train,0.0001,74.08,0.657,0.0,
88,val,,69.8,0.833,0.0,
89,train,0.0001,73.6,0.679,0.0,
89,val,,70.0,0.831,0.0,
90,train,0.0001,73.84,0.672,0.0,
90,val,,68.4,0.829,0.0,
91,train,0.0001,72.72,0.69,0.0,
91,val,,69.4,0.839,0.0,
92,train,0.0001,74.16,0.674,0.0,
92,val,,68.8,0.833,0.0,
93,train,0.0001,74.16,0.679,0.0,
93,val,,69.8,0.828,0.0,
94,train,0.0001,74.6,0.658,0.0,
94,val,,68.4,0.829,0.0,
95,train,0.0001,74.28,0.657,0.0,
95,val,,68.6,0.834,0.0,
96,train,0.0001,74.08,0.669,0.0,
96,val,,69.2,0.834,0.0,
97,train,0.0001,75.8,0.647,0.0,
97,val,,69.0,0.844,0.0,
98,train,0.0001,73.32,0.692,0.0,
98,val,,68.8,0.835,0.0,
99,train,0.0001,75.88,0.655,0.0,
99,val,,69.4,0.836,0.0,
100,train,0.0001,75.24,0.655,0.0,
100,val,,69.6,0.836,0.0,
0,val,,69.6,0.836,0.0,
1,train,0.001,74.56,0.668,0.053,
1,val,,70.8,0.836,0.053,
2,train,0.001,74.48,0.676,0.085,
2,val,,68.8,0.833,0.085,
3,train,0.001,74.16,0.687,0.098,
3,val,,70.0,0.852,0.098,
4,train,0.001,73.6,0.675,0.101,
4,val,,69.2,0.841,0.101,
5,train,0.001,74.48,0.693,0.101,
5,val,,69.4,0.835,0.101,
6,train,0.001,73.76,0.683,0.101,
6,val,,69.0,0.85,0.101,
7,train,0.001,74.4,0.684,0.101,
7,val,,68.6,0.845,0.101,
8,train,0.001,75.64,0.646,0.101,
