Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
71,val,,70.2,0.83,0.0,
72,train,0.001,75.48,0.627,0.0,
72,val,,70.6,0.836,0.0,
73,train,0.001,75.64,0.644,0.0,
73,val,,70.0,0.837,0.0,
74,train,0.001,76.84,0.621,0.0,
74,val,,70.6,0.84,0.0,
75,train,0.001,76.0,0.608,0.0,
75,val,,71.0,0.834,0.0,
76,train,0.001,77.32,0.613,0.0,
76,val,,71.2,0.837,0.0,
77,train,0.001,75.88,0.628,0.0,
77,val,,70.6,0.839,0.0,
78,train,0.001,77.04,0.615,0.0,
78,val,,69.8,0.823,0.0,
79,train,0.001,76.4,0.606,0.0,
79,val,,70.6,0.849,0.0,
80,train,0.001,77.76,0.589,0.0,
80,val,,71.4,0.827,0.0,
81,train,0.0001,76.28,0.598,0.0,
81,val,,71.0,0.831,0.0,
82,train,0.0001,76.72,0.608,0.0,
82,val,,70.2,0.829,0.0,
83,train,0.0001,76.8,0.606,0.0,
83,val,,69.6,0.841,0.0,
84,train,0.0001,77.24,0.6,0.0,
84,val,,70.4,0.834,0.0,
85,train,0.0001,77.12,0.609,0.0,
85,val,,70.0,0.83,0.0,
86,train,0.0001,76.92,0.601,0.0,
86,val,,70.4,0.835,0.0,
87,train,0.0001,78.16,0.588,0.0,
87,val,,69.4,0.845,0.0,
88,train,0.0001,76.24,0.606,0.0,
88,val,,70.4,0.839,0.0,
89,train,0.0001,77.08,0.587,0.0,
89,val,,70.0,0.831,0.0,
90,train,0.0001,77.72,0.592,0.0,
90,val,,71.4,0.839,0.0,
91,train,0.0001,76.68,0.61,0.0,
91,val,,70.8,0.844,0.0,
92,train,0.0001,76.64,0.594,0.0,
92,val,,70.4,0.825,0.0,
93,train,0.0001,78.12,0.578,0.0,
93,val,,69.8,0.844,0.0,
94,train,0.0001,77.24,0.577,0.0,
94,val,,70.6,0.836,0.0,
95,train,0.0001,77.68,0.586,0.0,
95,val,,70.6,0.832,0.0,
96,train,0.0001,77.04,0.59,0.0,
96,val,,71.0,0.847,0.0,
97,train,0.0001,77.76,0.597,0.0,
97,val,,70.8,0.838,0.0,
98,train,0.0001,77.44,0.595,0.0,
98,val,,71.2,0.835,0.0,
99,train,0.0001,76.84,0.595,0.0,
99,val,,70.6,0.837,0.0,
100,train,0.0001,77.8,0.584,0.0,
100,val,,70.6,0.83,0.0,
0,val,,70.6,0.83,0.0,
1,train,0.001,76.76,0.608,0.053,
1,val,,71.8,0.827,0.053,
2,train,0.001,77.2,0.601,0.086,
2,val,,71.2,0.833,0.086,
3,train,0.001,77.52,0.594,0.098,
3,val,,71.4,0.838,0.098,
4,train,0.001,77.44,0.594,0.1,
4,val,,69.0,0.854,0.1,
5,train,0.001,77.12,0.599,0.1,
5,val,,70.8,0.836,0.1,
6,train,0.001,76.64,0.607,0.1,
6,val,,70.6,0.845,0.1,
7,train,0.001,77.24,0.594,0.1,
7,val,,72.6,0.826,0.1,
8,train,0.001,76.44,0.598,0.1,
8,val,,71.2,0.838,0.1,
9,train,0.001,77.12,0.596,0.1,
9,val,,70.8,0.834,0.1,
10,train,0.001,78.08,0.583,0.1,
10,val,,72.4,0.832,0.1,
11,train,0.001,77.56,0.592,0.1,
11,val,,70.8,0.852,0.1,
12,train,0.001,76.8,0.599,0.1,
12,val,,71.2,0.851,0.1,
13,train,0.001,77.8,0.586,0.1,
13,val,,71.2,0.839,0.1,
14,train,0.001,75.92,0.596,0.1,
14,val,,71.6,0.849,0.1,
15,train,0.001,77.0,0.601,0.1,
15,val,,70.4,0.84,0.1,
16,train,0.001,78.32,0.591,0.1,
16,val,,71.4,0.875,0.1,
17,train,0.001,78.28,0.584,0.1,
17,val,,70.4,0.858,0.1,
18,train,0.001,77.8,0.582,0.1,
18,val,,69.8,0.856,0.1,
19,train,0.001,76.96,0.593,0.1,
19,val,,72.0,0.863,0.1,
20,train,0.001,77.88,0.57,0.1,
20,val,,71.6,0.851,0.1,
0,val,,71.6,0.851,0.1,
1,train,0.001,77.44,0.573,0.153,
1,val,,71.4,0.84,0.153,
2,train,0.001,78.76,0.57,0.185,
2,val,,69.8,0.85,0.185,
3,train,0.001,79.32,0.559,0.198,
3,val,,70.0,0.851,0.198,
4,train,0.001,78.64,0.563,0.201,
4,val,,69.8,0.86,0.201,
5,train,0.001,78.2,0.562,0.201,
5,val,,71.4,0.853,0.201,
6,train,0.001,78.16,0.575,0.201,
6,val,,71.2,0.859,0.201,
7,train,0.001,78.84,0.559,0.201,
7,val,,72.0,0.838,0.201,
8,train,0.001,77.96,0.562,0.201,
8,val,,70.4,0.849,0.201,
9,train,0.001,78.68,0.563,0.201,
9,val,,70.4,0.851,0.201,
10,train,0.001,79.52,0.548,0.201,
10,val,,72.2,0.843,0.201,
11,train,0.001,78.64,0.558,0.201,
11,val,,71.0,0.868,0.201,
12,train,0.001,78.4,0.565,0.201,
12,val,,70.6,0.871,0.201,
13,train,0.001,78.84,0.553,0.201,
13,val,,71.2,0.856,0.201,
14,train,0.001,77.8,0.562,0.201,
14,val,,71.2,0.865,0.201,
15,train,0.001,78.64,0.567,0.201,
15,val,,69.8,0.856,0.201,
16,train,0.001,79.12,0.558,0.201,
16,val,,69.8,0.894,0.201,
17,train,0.001,79.72,0.552,0.201,
17,val,,70.0,0.877,0.201,
18,train,0.001,78.72,0.55,0.201,
18,val,,69.2,0.873,0.201,
19,train,0.001,79.04,0.559,0.201,
19,val,,71.6,0.881,0.201,
20,train,0.001,78.8,0.537,0.201,
20,val,,71.8,0.868,0.201,
0,val,,71.8,0.868,0.201,
1,train,0.001,79.16,0.541,0.253,
1,val,,71.6,0.858,0.253,
2,train,0.001,79.68,0.543,0.286,
2,val,,69.6,0.869,0.286,
3,train,0.001,80.72,0.528,0.298,
3,val,,71.8,0.843,0.298,
4,train,0.001,79.8,0.535,0.301,
4,val,,69.8,0.868,0.301,
5,train,0.001,79.2,0.534,0.301,
5,val,,71.6,0.862,0.301,
6,train,0.001,79.72,0.547,0.301,
6,val,,70.4,0.864,0.301,
7,train,0.001,80.24,0.53,0.301,
7,val,,72.6,0.844,0.301,
8,train,0.001,79.2,0.535,0.301,
8,val,,70.2,0.853,0.301,
9,train,0.001,79.2,0.532,0.301,
9,val,,71.6,0.858,0.301,
10,train,0.001,80.36,0.517,0.301,
10,val,,71.8,0.85,0.301,
11,train,0.001,79.8,0.527,0.301,
11,val,,70.8,0.874,0.301,
12,train,0.001,79.56,0.532,0.301,
12,val,,70.8,0.886,0.301,
13,train,0.001,80.2,0.52,0.301,
13,val,,71.2,0.867,0.301,
14,train,0.001,79.16,0.533,0.301,
14,val,,70.8,0.877,0.301,
15,train,0.001,79.96,0.536,0.301,
15,val,,69.4,0.864,0.301,
16,train,0.001,80.16,0.529,0.301,
16,val,,69.0,0.905,0.301,
17,train,0.001,80.64,0.521,0.301,
17,val,,71.0,0.89,0.301,
18,train,0.001,80.44,0.519,0.301,
18,val,,69.0,0.887,0.301,
19,train,0.001,79.88,0.53,0.301,
19,val,,70.8,0.89,0.301,
20,train,0.001,80.16,0.505,0.301,
20,val,,71.6,0.881,0.301,
0,val,,71.6,0.881,0.301,
1,train,0.001,80.52,0.513,0.353,
1,val,,70.0,0.86,0.353,
2,train,0.001,80.44,0.522,0.386,
2,val,,69.4,0.874,0.386,
3,train,0.001,81.04,0.51,0.398,
3,val,,71.0,0.888,0.398,
4,train,0.001,80.96,0.511,0.4,
4,val,,69.8,0.881,0.4,
5,train,0.001,81.0,0.507,0.4,
5,val,,72.0,0.873,0.4,
6,train,0.001,80.44,0.524,0.4,
6,val,,71.0,0.874,0.4,
7,train,0.001,81.08,0.502,0.4,
7,val,,72.6,0.855,0.4,
8,train,0.001,80.48,0.509,0.4,
8,val,,70.8,0.864,0.4,
9,train,0.001,80.88,0.505,0.4,
9,val,,71.4,0.87,0.4,
10,train,0.001,81.44,0.488,0.4,
10,val,,72.4,0.863,0.4,
11,train,0.001,81.0,0.497,0.4,
11,val,,70.8,0.886,0.4,
12,train,0.001,80.44,0.503,0.4,
12,val,,71.0,0.905,0.4,
13,train,0.001,81.4,0.49,0.4,
13,val,,70.4,0.882,0.4,
14,train,0.001,80.52,0.501,0.4,
14,val,,69.6,0.896,0.4,
15,train,0.001,81.2,0.511,0.4,
15,val,,69.6,0.879,0.4,
16,train,0.001,81.4,0.498,0.4,
16,val,,70.0,0.918,0.4,
17,train,0.001,81.84,0.493,0.4,
17,val,,70.2,0.904,0.4,
18,train,0.001,81.92,0.489,0.4,
18,val,,69.2,0.898,0.4,
19,train,0.001,81.44,0.498,0.4,
19,val,,70.6,0.907,0.4,
20,train,0.001,82.08,0.474,0.4,
20,val,,71.8,0.9,0.4,
0,val,,71.8,0.9,0.4,
1,train,0.001,81.56,0.483,0.453,
1,val,,68.4,0.903,0.453,
2,train,0.001,80.8,0.504,0.485,
2,val,,69.0,0.91,0.485,
3,train,0.001,81.88,0.488,0.498,
3,val,,71.6,0.875,0.498,
4,train,0.001,81.24,0.484,0.501,
4,val,,68.6,0.907,0.501,
5,train,0.001,81.8,0.488,0.501,
5,val,,71.8,0.874,0.501,
6,train,0.001,81.84,0.496,0.501,
6,val,,70.8,0.882,0.501,
7,train,0.001,82.08,0.479,0.501,
7,val,,71.6,0.856,0.501,
8,train,0.001,81.12,0.484,0.501,
8,val,,70.2,0.868,0.501,
9,train,0.001,81.96,0.48,0.501,
9,val,,70.2,0.879,0.501,
10,train,0.001,82.44,0.463,0.501,
10,val,,71.6,0.871,0.501,
11,train,0.001,81.96,0.476,0.501,
11,val,,71.2,0.89,0.501,
12,train,0.001,81.64,0.478,0.501,
12,val,,70.0,0.909,0.501,
13,train,0.001,82.64,0.461,0.501,
13,val,,70.2,0.885,0.501,
14,train,0.001,82.4,0.471,0.501,
14,val,,69.8,0.901,0.501,
15,train,0.001,82.48,0.485,0.501,
15,val,,69.2,0.889,0.501,
16,train,0.001,82.72,0.471,0.501,
16,val,,69.2,0.933,0.501,
17,train,0.001,82.76,0.466,0.501,
17,val,,69.8,0.914,0.501,
18,train,0.001,82.76,0.464,0.501,
18,val,,69.4,0.913,0.501,
19,train,0.001,81.8,0.472,0.501,
19,val,,69.6,0.924,0.501,
20,train,0.001,83.44,0.448,0.501,
20,val,,69.6,0.914,0.501,
0,val,,69.6,0.914,0.501,
1,train,0.001,83.2,0.458,0.553,
1,val,,66.2,1.053,0.553,
2,train,0.001,80.32,0.518,0.586,
2,val,,65.2,1.035,0.586,
3,train,0.001,81.6,0.486,0.598,
3,val,,67.0,0.95,0.598,
4,train,0.001,82.08,0.478,0.601,
4,val,,70.0,0.889,0.601,
5,train,0.001,82.2,0.475,0.601,
5,val,,70.4,0.901,0.601,
6,train,0.001,82.04,0.484,0.601,
6,val,,69.6,0.906,0.601,
7,train,0.001,82.88,0.467,0.601,
7,val,,69.4,0.885,0.601,
8,train,0.001,81.76,0.467,0.601,
8,val,,69.4,0.886,0.601,
9,train,0.001,83.24,0.458,0.601,
9,val,,69.4,0.886,0.601,
10,train,0.001,83.2,0.447,0.601,
10,val,,69.8,0.891,0.601,
11,train,0.001,82.68,0.453,0.601,
11,val,,70.2,0.908,0.601,
12,train,0.001,82.12,0.459,0.601,
12,val,,71.0,0.929,0.601,
13,train,0.001,83.28,0.445,0.601,
13,val,,70.2,0.901,0.601,
14,train,0.001,82.52,0.452,0.601,
14,val,,69.2,0.919,0.601,
15,train,0.001,83.0,0.465,0.601,
15,val,,69.2,0.904,0.601,
16,train,0.001,83.4,0.45,0.601,
16,val,,69.8,0.948,0.601,
17,train,0.001,83.36,0.45,0.601,
17,val,,69.0,0.929,0.601,
18,train,0.001,82.72,0.448,0.601,
18,val,,68.2,0.924,0.601,
19,train,0.001,83.24,0.451,0.601,
19,val,,69.2,0.95,0.601,
20,train,0.001,83.32,0.436,0.601,
20,val,,69.2,0.934,0.601,
0,val,,69.2,0.934,0.601,
1,train,0.001,83.72,0.439,0.653,
1,val,,60.8,1.282,0.653,
2,train,0.001,79.28,0.558,0.686,
2,val,,67.2,0.964,0.686,
3,train,0.001,80.2,0.527,0.698,
3,val,,67.8,0.914,0.698,
4,train,0.001,81.04,0.497,0.701,
4,val,,68.4,0.89,0.701,
5,train,0.001,81.52,0.488,0.701,
5,val,,69.0,0.903,0.701,
6,train,0.001,81.4,0.499,0.701,
6,val,,70.4,0.9,0.701,
7,train,0.001,82.32,0.477,0.701,
7,val,,69.4,0.89,0.701,
