epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.610864281654358,1.6093688011169434,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.6098471879959106,1.6089693307876587,0.21199999749660492,0.01,0.0,1.0,0.0
3,1.609434723854065,1.607540249824524,0.2460000067949295,0.01,0.0,1.0,0.0
4,1.5990298986434937,1.5659984350204468,0.3140000104904175,0.01,0.0,1.0,0.0
5,1.4354023933410645,1.3526027202606201,0.4560000002384186,0.01,0.0,1.0,0.0
6,1.3132210969924927,1.3348788022994995,0.4180000126361847,0.01,0.0,1.0,0.0
7,1.2736927270889282,1.2573261260986328,0.4339999854564667,0.01,0.0,1.0,0.0
8,1.216163158416748,1.208274245262146,0.48399999737739563,0.01,0.0,1.0,0.0
9,1.1612141132354736,1.1148884296417236,0.5460000038146973,0.01,0.0,1.0,0.0
10,1.1118695735931396,1.2214308977127075,0.4880000054836273,0.01,0.0,1.0,0.0
11,1.079467535018921,1.070274829864502,0.5419999957084656,0.01,0.0,1.0,0.0
12,1.0644780397415161,1.2997653484344482,0.4620000123977661,0.01,0.0,1.0,0.0
13,1.0230224132537842,1.0457202196121216,0.5720000267028809,0.01,0.0,1.0,0.0
14,1.008286714553833,1.3842229843139648,0.4699999988079071,0.01,0.0,1.0,0.0
15,1.0574893951416016,0.9068304896354675,0.621999979019165,0.01,0.0,1.0,0.0
16,0.9619091749191284,0.905879557132721,0.6340000033378601,0.01,0.0,1.0,0.0
17,0.9307959675788879,0.9588533639907837,0.6159999966621399,0.01,0.0,1.0,0.0
18,0.9033536911010742,0.8735026717185974,0.6819999814033508,0.01,0.0,1.0,0.0
19,0.8622909188270569,0.8439429998397827,0.6700000166893005,0.01,0.0,1.0,0.0
20,0.8591978549957275,0.9292152523994446,0.6740000247955322,0.01,0.0,1.0,0.0
21,0.8170778751373291,0.8392490744590759,0.6620000004768372,0.01,0.0,1.0,0.0
22,0.8254321217536926,0.9130620360374451,0.6819999814033508,0.01,0.0,1.0,0.0
23,0.8488067388534546,0.8738297820091248,0.6520000100135803,0.01,0.0,1.0,0.0
24,0.8244401216506958,0.9387842416763306,0.6480000019073486,0.01,0.0,1.0,0.0
25,0.7823857069015503,0.7461816668510437,0.7260000109672546,0.01,0.0,1.0,0.0
26,0.7787348031997681,0.7580140233039856,0.7319999933242798,0.01,0.0,1.0,0.0
27,0.7683092355728149,0.7635717988014221,0.7260000109672546,0.01,0.0,1.0,0.0
28,0.7101022601127625,0.7584565281867981,0.7160000205039978,0.01,0.0,1.0,0.0
29,0.753593921661377,0.7726098895072937,0.6959999799728394,0.01,0.0,1.0,0.0
30,0.7282706499099731,0.6982116103172302,0.7440000176429749,0.01,0.0,1.0,0.0
31,0.7221283912658691,0.743525505065918,0.7360000014305115,0.01,0.0,1.0,0.0
32,0.6685838103294373,0.7084614634513855,0.7680000066757202,0.01,0.0,1.0,0.0
33,0.6972482800483704,0.6604512929916382,0.7720000147819519,0.01,0.0,1.0,0.0
34,0.6759810447692871,0.7185330390930176,0.7360000014305115,0.01,0.0,1.0,0.0
35,0.6954781413078308,0.7061160802841187,0.7799999713897705,0.01,0.0,1.0,0.0
36,0.6801633238792419,0.7443235516548157,0.7300000190734863,0.01,0.0,1.0,0.0
37,0.6565923094749451,0.6631070375442505,0.7879999876022339,0.01,0.0,1.0,0.0
38,0.645211935043335,0.666740357875824,0.7760000228881836,0.01,0.0,1.0,0.0
39,0.6406294703483582,0.7387577891349792,0.7379999756813049,0.01,0.0,1.0,0.0
40,0.6298721432685852,0.6249871850013733,0.7919999957084656,0.01,0.0,1.0,0.0
41,0.6055640578269958,0.8227277398109436,0.7279999852180481,0.01,0.0,1.0,0.0
42,0.6383063197135925,0.6545653343200684,0.7699999809265137,0.01,0.0,1.0,0.0
43,0.6059558391571045,0.6415330767631531,0.7720000147819519,0.01,0.0,1.0,0.0
44,0.5952560901641846,0.7036303877830505,0.7739999890327454,0.01,0.0,1.0,0.0
45,0.6006503701210022,0.7304031848907471,0.7260000109672546,0.01,0.0,1.0,0.0
46,0.5967917442321777,0.6580275893211365,0.7639999985694885,0.01,0.0,1.0,0.0
47,0.5849045515060425,0.638486921787262,0.7760000228881836,0.01,0.0,1.0,0.0
48,0.5576251745223999,0.6548076272010803,0.777999997138977,0.01,0.0,1.0,0.0
49,0.601631224155426,0.6545959115028381,0.7760000228881836,0.01,0.0,1.0,0.0
50,0.6076784133911133,0.6676932573318481,0.734000027179718,0.001,0.0,1.0,0.0
51,0.5320165753364563,0.5769413113594055,0.7919999957084656,0.001,0.0,1.0,0.0
52,0.47675272822380066,0.564193844795227,0.8100000023841858,0.001,0.0,1.0,0.0
53,0.44390448927879333,0.5720356702804565,0.8119999766349792,0.001,0.0,1.0,0.0
54,0.4588150978088379,0.5767942070960999,0.8199999928474426,0.001,0.0,1.0,0.0
55,0.4559711813926697,0.581251323223114,0.800000011920929,0.001,0.0,1.0,0.0
56,0.4424940049648285,0.584890604019165,0.8040000200271606,0.001,0.0,1.0,0.0
57,0.448105126619339,0.5815225839614868,0.8080000281333923,0.001,0.0,1.0,0.0
58,0.4368988871574402,0.5718019604682922,0.8119999766349792,0.001,0.0,1.0,0.0
59,0.4293980002403259,0.5940519571304321,0.8220000267028809,0.001,0.0,1.0,0.0
60,0.43265897035598755,0.5819501876831055,0.8100000023841858,0.001,0.0,1.0,0.0
61,0.4191530644893646,0.5919070839881897,0.8040000200271606,0.001,0.0,1.0,0.0
62,0.43174853920936584,0.5732066631317139,0.8119999766349792,0.001,0.0,1.0,0.0
63,0.4262765049934387,0.5971602201461792,0.7960000038146973,0.001,0.0,1.0,0.0
64,0.4022597670555115,0.5958211421966553,0.8100000023841858,0.001,0.0,1.0,0.0
65,0.4060380756855011,0.5870803594589233,0.8240000009536743,0.001,0.0,1.0,0.0
66,0.40778014063835144,0.5996192693710327,0.8100000023841858,0.001,0.0,1.0,0.0
67,0.39589259028434753,0.602631688117981,0.8080000281333923,0.001,0.0,1.0,0.0
68,0.40843069553375244,0.5940245985984802,0.8080000281333923,0.001,0.0,1.0,0.0
69,0.39181816577911377,0.6046916842460632,0.8100000023841858,0.001,0.0,1.0,0.0
70,0.40327516198158264,0.596795916557312,0.8119999766349792,0.001,0.0,1.0,0.0
71,0.4168345630168915,0.5783590078353882,0.8100000023841858,0.001,0.0,1.0,0.0
72,0.3913725018501282,0.6056548357009888,0.8040000200271606,0.001,0.0,1.0,0.0
73,0.4001280963420868,0.593522846698761,0.8100000023841858,0.001,0.0,1.0,0.0
74,0.39476531744003296,0.6219908595085144,0.8140000104904175,0.001,0.0,1.0,0.0
75,0.4026733636856079,0.6087231636047363,0.7940000295639038,0.001,0.0,1.0,0.0
76,0.37169715762138367,0.6005538105964661,0.8019999861717224,0.001,0.0,1.0,0.0
77,0.37673836946487427,0.6035621166229248,0.8040000200271606,0.001,0.0,1.0,0.0
78,0.3886459171772003,0.6069762110710144,0.8080000281333923,0.001,0.0,1.0,0.0
79,0.3758380711078644,0.6397355198860168,0.7979999780654907,0.001,0.0,1.0,0.0
80,0.36649835109710693,0.6013371348381042,0.8100000023841858,0.0001,0.0,1.0,0.0
81,0.36230358481407166,0.5987487435340881,0.8140000104904175,0.0001,0.0,1.0,0.0
82,0.346609503030777,0.6039729714393616,0.8140000104904175,0.0001,0.0,1.0,0.0
