epoch,train_loss,val_loss,accuracy,lr,sparsity,task1_ratio,zero_ratio
1,1.610897421836853,1.6094845533370972,0.20000000298023224,0.01,0.0,1.0,0.0
2,1.6100949048995972,1.6093977689743042,0.20000000298023224,0.01,0.0,1.0,0.0
3,1.6103804111480713,1.6093926429748535,0.20000000298023224,0.01,0.0,1.0,0.0
4,1.6100990772247314,1.6093882322311401,0.20000000298023224,0.01,0.0,1.0,0.0
5,1.6101343631744385,1.6093058586120605,0.2240000069141388,0.01,0.0,1.0,0.0
6,1.6101038455963135,1.6092711687088013,0.20000000298023224,0.01,0.0,1.0,0.0
7,1.6097583770751953,1.6083663702011108,0.23000000417232513,0.01,0.0,1.0,0.0
8,1.606842041015625,1.603527307510376,0.23800000548362732,0.01,0.0,1.0,0.0
9,1.594356894493103,1.5872975587844849,0.23800000548362732,0.01,0.0,1.0,0.0
10,1.5825376510620117,1.5759942531585693,0.2639999985694885,0.01,0.0,1.0,0.0
11,1.5766582489013672,1.5694501399993896,0.2680000066757202,0.01,0.0,1.0,0.0
12,1.5781985521316528,1.5644876956939697,0.3100000023841858,0.01,0.0,1.0,0.0
13,1.5740057229995728,1.5606290102005005,0.2639999985694885,0.01,0.0,1.0,0.0
14,1.5696046352386475,1.556495189666748,0.2759999930858612,0.01,0.0,1.0,0.0
15,1.5702292919158936,1.548307180404663,0.28999999165534973,0.01,0.0,1.0,0.0
16,1.5705747604370117,1.5532923936843872,0.2919999957084656,0.01,0.0,1.0,0.0
17,1.5650731325149536,1.5755327939987183,0.25600001215934753,0.01,0.0,1.0,0.0
18,1.56330406665802,1.542839765548706,0.30399999022483826,0.01,0.0,1.0,0.0
19,1.5528138875961304,1.5422077178955078,0.2939999997615814,0.01,0.0,1.0,0.0
20,1.5528239011764526,1.5270063877105713,0.3140000104904175,0.01,0.0,1.0,0.0
21,1.5456187725067139,1.5260190963745117,0.2919999957084656,0.01,0.0,1.0,0.0
22,1.5447981357574463,1.509250521659851,0.33399999141693115,0.01,0.0,1.0,0.0
23,1.5389726161956787,1.5065832138061523,0.3140000104904175,0.01,0.0,1.0,0.0
24,1.5390533208847046,1.500917673110962,0.34599998593330383,0.01,0.0,1.0,0.0
25,1.5269668102264404,1.51015043258667,0.3240000009536743,0.01,0.0,1.0,0.0
26,1.52838933467865,1.4970697164535522,0.34200000762939453,0.01,0.0,1.0,0.0
27,1.5263426303863525,1.5009050369262695,0.33799999952316284,0.01,0.0,1.0,0.0
28,1.51002836227417,1.4988945722579956,0.3400000035762787,0.01,0.0,1.0,0.0
29,1.5112299919128418,1.4896198511123657,0.3240000009536743,0.01,0.0,1.0,0.0
30,1.5129859447479248,1.5014965534210205,0.3199999928474426,0.01,0.0,1.0,0.0
31,1.5001413822174072,1.490225911140442,0.328000009059906,0.01,0.0,1.0,0.0
32,1.506381869316101,1.4762812852859497,0.3659999966621399,0.01,0.0,1.0,0.0
33,1.4885715246200562,1.5065118074417114,0.33000001311302185,0.01,0.0,1.0,0.0
34,1.4832813739776611,1.4776394367218018,0.35199999809265137,0.01,0.0,1.0,0.0
35,1.481053352355957,1.47299063205719,0.32199999690055847,0.01,0.0,1.0,0.0
36,1.4853029251098633,1.4741755723953247,0.36000001430511475,0.01,0.0,1.0,0.0
37,1.4799505472183228,1.4972467422485352,0.31200000643730164,0.01,0.0,1.0,0.0
38,1.4657115936279297,1.4578386545181274,0.3619999885559082,0.01,0.0,1.0,0.0
39,1.4608107805252075,1.5081216096878052,0.328000009059906,0.01,0.0,1.0,0.0
40,1.4703824520111084,1.4700486660003662,0.3580000102519989,0.01,0.0,1.0,0.0
41,1.4531749486923218,1.4791269302368164,0.3840000033378601,0.01,0.0,1.0,0.0
42,1.4577744007110596,1.4769372940063477,0.3720000088214874,0.01,0.0,1.0,0.0
43,1.4725229740142822,1.4741078615188599,0.3619999885559082,0.01,0.0,1.0,0.0
44,1.4479299783706665,1.4756959676742554,0.3700000047683716,0.01,0.0,1.0,0.0
45,1.455947756767273,1.471117377281189,0.37599998712539673,0.01,0.0,1.0,0.0
46,1.4463396072387695,1.470179796218872,0.35600000619888306,0.01,0.0,1.0,0.0
47,1.4333760738372803,1.4598093032836914,0.37400001287460327,0.01,0.0,1.0,0.0
48,1.4404863119125366,1.4787710905075073,0.34599998593330383,0.01,0.0,1.0,0.0
49,1.4282150268554688,1.501668930053711,0.32600000500679016,0.01,0.0,1.0,0.0
50,1.434791088104248,1.4810372591018677,0.36399999260902405,0.001,0.0,1.0,0.0
51,1.4079886674880981,1.4554396867752075,0.3540000021457672,0.001,0.0,1.0,0.0
52,1.3852399587631226,1.4517182111740112,0.3479999899864197,0.001,0.0,1.0,0.0
53,1.3838038444519043,1.4451276063919067,0.3580000102519989,0.001,0.0,1.0,0.0
54,1.379112720489502,1.449369192123413,0.36399999260902405,0.001,0.0,1.0,0.0
55,1.3763797283172607,1.444901704788208,0.3580000102519989,0.001,0.0,1.0,0.0
56,1.3726565837860107,1.4500998258590698,0.3580000102519989,0.001,0.0,1.0,0.0
57,1.3748306035995483,1.4421679973602295,0.36399999260902405,0.001,0.0,1.0,0.0
58,1.3774975538253784,1.454888939857483,0.35199999809265137,0.001,0.0,1.0,0.0
59,1.37388277053833,1.449060082435608,0.3580000102519989,0.001,0.0,1.0,0.0
60,1.3766671419143677,1.449405312538147,0.36399999260902405,0.001,0.0,1.0,0.0
61,1.3793234825134277,1.4485009908676147,0.3700000047683716,0.001,0.0,1.0,0.0
62,1.3638393878936768,1.447004795074463,0.3580000102519989,0.001,0.0,1.0,0.0
63,1.3656998872756958,1.4514907598495483,0.36000001430511475,0.001,0.0,1.0,0.0
64,1.3747669458389282,1.4453961849212646,0.3700000047683716,0.001,0.0,1.0,0.0
65,1.3644468784332275,1.4571633338928223,0.3619999885559082,0.001,0.0,1.0,0.0
66,1.3610334396362305,1.4573403596878052,0.35600000619888306,0.001,0.0,1.0,0.0
67,1.3612388372421265,1.4517370462417603,0.3659999966621399,0.001,0.0,1.0,0.0
68,1.352750539779663,1.4503005743026733,0.3580000102519989,0.001,0.0,1.0,0.0
69,1.3626455068588257,1.4525561332702637,0.36399999260902405,0.001,0.0,1.0,0.0
70,1.3617459535598755,1.4546477794647217,0.3659999966621399,0.001,0.0,1.0,0.0
71,1.3464293479919434,1.4578074216842651,0.36800000071525574,0.001,0.0,1.0,0.0
72,1.3439427614212036,1.4597172737121582,0.3619999885559082,0.001,0.0,1.0,0.0
73,1.360162615776062,1.4534761905670166,0.36399999260902405,0.001,0.0,1.0,0.0
74,1.3397802114486694,1.4601560831069946,0.36800000071525574,0.001,0.0,1.0,0.0
75,1.3505505323410034,1.4635517597198486,0.3659999966621399,0.001,0.0,1.0,0.0
76,1.3467345237731934,1.457316279411316,0.36399999260902405,0.001,0.0,1.0,0.0
77,1.3447033166885376,1.4611364603042603,0.36800000071525574,0.001,0.0,1.0,0.0
78,1.3487730026245117,1.469693899154663,0.3779999911785126,0.001,0.0,1.0,0.0
79,1.3522298336029053,1.4609053134918213,0.3659999966621399,0.001,0.0,1.0,0.0
80,1.346779227256775,1.4575403928756714,0.38199999928474426,0.0001,0.0,1.0,0.0
81,1.3410698175430298,1.4557182788848877,0.37400001287460327,0.0001,0.0,1.0,0.0
82,1.3320815563201904,1.4549940824508667,0.3720000088214874,0.0001,0.0,1.0,0.0
83,1.3272591829299927,1.455549716949463,0.3720000088214874,0.0001,0.0,1.0,0.0
84,1.3328174352645874,1.455398440361023,0.3659999966621399,0.0001,0.0,1.0,0.0
85,1.3239868879318237,1.4561513662338257,0.3659999966621399,0.0001,0.0,1.0,0.0
